
[1-7-2025 14-7-16 ] [2] [Status: START] - CardDebit Number: 1234567812345678, CardTransfer Number: 3241567812345678, Debit: 100000, Currency: RUB, Commission: 0
[2-7-2025 19-22-55 ] [1] [Status: TRANSFER_TO_ACCOUNT] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 10000, Currency: RUB, Commission: 0
[2-7-2025 19-22-55 ] [1] [Status: DONE] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 10000, Currency: RUB, Commission: 0
[3-7-2025 22-48-24 ] [1] [Status: START] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 1000, Currency: RUB, Commission: 0
[3-7-2025 22-48-24 ] [1] [Status: PROGRESS] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 1000, Currency: RUB, Commission: 10
[3-7-2025 22-48-25 ] [2] [Status: START] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 1000, Currency: RUB, Commission: 0
[3-7-2025 22-48-25 ] [2] [Status: PROGRESS] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 1000, Currency: RUB, Commission: 10
[3-7-2025 22-48-26 ] [3] [Status: START] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 1000, Currency: RUB, Commission: 0
[3-7-2025 22-48-26 ] [3] [Status: PROGRESS] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 1000, Currency: RUB, Commission: 10
[3-7-2025 22-48-35 ] [1] [Status: ERROR] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 1000, Currency: RUB, Commission: 10
[3-7-2025 22-48-36 ] [2] [Status: ERROR] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 1000, Currency: RUB, Commission: 10
[3-7-2025 22-48-37 ] [3] [Status: ERROR] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 1000, Currency: RUB, Commission: 10
[5-7-2025 11-33-21 ] [1] [Status: START] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 1000, Currency: RUB, Commission: 0
[5-7-2025 11-33-21 ] [1] [Status: PROGRESS] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 1000, Currency: RUB, Commission: 10
[5-7-2025 11-33-32 ] [1] [Status: ERROR] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 1000, Currency: RUB, Commission: 10
